application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/20996,1999-09-10,?,PCT,STROUP,CARRIE,M,72891,1633,424,093700,,None,3220/65002,256,10nov2001 00:00:00,9200,2006-03-27,,,200015765,2000-03-23,,,,PEND,ENHANCED SUBMUCOSAL TISSUE GRAFT CONSTRUCTS,0,0
PCT/US99/20997,1999-09-13,?,PCT,LAUCHMAN,LAYLA,G,63196,IPLA,356,244000,,None,120352/ML-04,256,10nov2001 00:00:00,9200,2006-03-27,,,200015021,2000-03-23,,,,PEND,IMAGING OF SURGICAL BIOPSIES,0,0
PCT/US99/20999,1999-09-13,?,PCT,KAMEN,NOAH,P,87852,3747,123,565000,,None,EMP0112PCT,566,21dec1999 00:00:00,9200,2006-03-27,,,200020736,2000-04-13,,,,PEND,FLOW-THROUGH CONTROLLABLE AIR CHARGER,0,0
PCT/US99/21000,1999-09-13,?,PCT,WELLS,NIKITA,,98474,2881,347,229000,,None,SII213-PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200016368,2000-03-23,,,,PEND,BI-DIRECTIONAL SWEEPING FOR COLOR CRT PRINTERS,0,0
PCT/US99/21001,1999-09-14,?,PCT,HSU,GRACE,C,84611,1627,435,007100,,None,NAVI010/03WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200015178,2000-03-23,,,,PEND,PHARMACOKINETIC-BASED DRUG DESIGN TOOL AND METHOD,0,0
PCT/US99/21003,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,VPI98-108PCT,218,27sep1999 19:52:02,9200,2006-03-27,,,200015210,2000-03-23,,,,PEND,METHODS OF TREATING VIRAL DISEASE,0,0
PCT/US99/21004,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,8993/107,218,27sep1999 19:51:57,9200,2006-03-27,,,200021265,2000-04-13,,,,PEND,CELLULAR TELEPHONE WITH SEQUENTIALLY LIGHTED KEYPAD,0,0
PCT/US99/21005,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,5454-00901,218,13oct1999 19:51:52,9200,2006-03-27,,,200016135,2000-03-23,,,,PEND,ELECTRICALLY SWITCHABLE HOLOGRAPHIC DISPLAY,0,0
PCT/US99/21006,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,5454-00501,218,18oct1999 19:51:46,9200,2006-03-27,,,200016136,2000-03-23,,,,PEND,HOLOGRAPHIC ILLUMINATION SYSTEM,0,0
PCT/US99/21007,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,4300.011010,218,13oct1999 19:51:41,9200,2006-03-27,,,200015783,2000-03-23,,,,PEND,ANTISENSE OLIGONUCLEOTIDE COMPOSITIONS TARGETED TO BETA1-ADRENOCEPTOR-SPECIFIC MRNA AND METHODS OF,0,0
PCT/US99/21008,1999-09-15,?,PCT,NGUYEN,NGA,B,74097,2164,705,037000,,None,48897-021,256,10nov2001 00:00:00,9200,2006-03-27,,,200016232,2000-03-23,,,,PEND,TECHNIQUES FOR COMPUTER ASSISTED TRADING IN A CASH MARKET FOR COMMODITIES,0,0
PCT/US99/21010,1999-09-14,?,PCT,VO,DON,NGUYEN,71594,2634,375,354000,,None,1664WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200016515,2000-03-23,,,,PEND,TRIGGERED CLOCK SIGNAL GENERATOR,0,0
PCT/US99/21011,1999-09-14,?,PCT,BROWN,GLENN,WARNER,67796,2858,324,158100,,None,1772WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200019215,2000-04-06,,,,PEND,THERMAL ISOLATION PLATE FOR PROBE CARD,0,0
PCT/US99/21012,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,22062.96,218,27sep1999 19:50:57,9200,2006-03-27,,,200015524,2000-03-23,,,,PEND,LOAD FORMER ASSEMBLY,0,0
PCT/US99/21013,1999-09-15,?,PCT,WUJCIAK,ALFRED,J,66974,3632,119,710000,,None,1247.2 PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200015031,2000-03-23,,,,PEND,RETAINING APPARATUS FOR PET WASTE PAD,0,0
PCT/US99/21014,1999-09-15,?,PCT,CHAWAN,VIJAY,B,65633,2658,704,230000,,None,24497.101-2,256,10nov2001 00:00:00,9200,2006-03-27,,,200019411,2000-04-06,,,,PEND,SYSTEM AND METHOD FOR PROCESSING DATA FROM AND FOR MULTIPLE CHANNELS,0,0
PCT/US99/21015,1999-09-15,?,PCT,SOLOLA,TAOFIQ,A,67575,1626,514,450000,,None,604-513,256,10nov2001 00:00:00,9200,2006-03-27,,,200015216,2000-03-23,,,,PEND,THERAPEUTIC COMPOSITIONS (II),0,0
PCT/US99/21016,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,19515-720,218,27sep1999 19:50:16,9200,2006-03-27,,,200016252,2000-03-23,,,,PEND,SYSTEM AND METHOD FOR CONDUCTING AND AUTHENTICATING TRANSACTIONS,0,0
PCT/US99/21017,1999-09-15,?,PCT,MOON,DANIEL,B,71555,3721,053,520000,,None,99275-PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200020283,2000-04-13,,,,PEND,METHOD AND APPARATUS FOR SEPARATING AND INSERTING ITEMS PACKAGED IN A BADOLIER,0,0
PCT/US99/21018,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,ATMDR-007PCT,218,04oct1999 19:49:58,9200,2006-03-27,,,200016338,2000-03-23,,,,PEND,FLASH MEMORY ARRAY WITH INTERNAL REFRESH,0,0
PCT/US99/21019,1999-09-14,?,PCT,YAMNITZKY,MARIE,ROSE,96172,1774,428,195000,,None,"S-89,678",256,10nov2001 00:00:00,9200,2006-03-27,,,200016412,2000-03-23,,,,PEND,SUPERCONDUCTING STRUCTURE,0,0
PCT/US99/21020,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,11157/002WO1,218,14oct1999 19:49:40,9200,2006-03-27,,,200015605,2000-03-23,,,,PEND,CHIRAL CYANOAMINES AND METHODS OF PREPARATION,0,0
PCT/US99/21021,1999-09-14,?,PCT,TAPOLCAI,WILLIAM,E,73661,3744,062,389000,,None,1A9914.PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200015543,2000-03-23,,,,PEND,BEVERAGE DISPENSER,0,0
PCT/US99/21022,1999-09-14,?,PCT,KILIMAN,LESZEK,B,59201,1773,428,474400,,None,EI-082-WO-01,256,10nov2001 00:00:00,9200,2006-03-27,,,200015695,2000-03-23,,,,PEND,PRIMER COMPOSITION AND METHOD OF USE THEREOF,0,0
PCT/US99/21023,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,98-47PC,218,19oct1999 19:49:17,9200,2006-03-27,,,200015659,2000-03-23,,,,PEND,STOMACH POLYPEPTIDE ZSIG28,0,0
PCT/US99/21024,1999-09-14,?,PCT,HENLEY III,RAYMOND,J,98205,1614,514,449000,,None,6415.PC.01,256,10nov2001 00:00:00,9200,2006-03-27,,,200020036,2000-04-13,,,,PEND,PHARMACEUTICAL COMPOSITIONS CONTAINING PACLITAXEL,0,0
PCT/US99/21025,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,"50,653",552,04oct1999 00:00:00,5060,2001-12-12,,,200015601,2000-03-23,,,,PEND,PROCESS FOR PREPARING CARBOXYLIC ACIDS,0,0
PCT/US99/21026,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,D-7759,218,18oct1999 19:49:02,9200,2006-03-27,,,200015511,2000-03-23,,,,PEND,A TRAY CONTAINER AND BLANK,0,0
PCT/US99/21027,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,P-4094.70,218,27sep1999 19:48:57,9200,2006-03-27,,,200015289,2000-03-23,,,,PEND,SPLITTABLE DEVICE,0,0
PCT/US99/21028,1999-09-14,?,PCT,PATEL,ASHOK,,69604,2879,313,506000,,None,10020/12976,256,10nov2001 00:00:00,9200,2006-03-27,,,200016593,2000-03-23,,,,PEND,STRUCTURE FOR HIGH EFFICIENCY ELECTROLUMINESCENT DEVICE,0,0
PCT/US99/21029,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,P-4446.70,218,29sep1999 19:48:42,9200,2006-03-27,,,200015290,2000-03-23,,,,PEND,CLAMPLING WING FOR CATHETER INTRODUCER,0,0
PCT/US99/21030,1999-09-14,?,PCT,None,None,None,,5331,000,000000,,None,P-4447.70,218,29sep1999 19:48:38,9200,2006-03-27,,,200015287,2000-03-23,,,,PEND,ONE PIECE LOCK FOR SPLITTABLE SHEATH,0,0
PCT/US99/21031,1999-09-14,?,PCT,WILLIAMS,JOSEPH,L,70984,2879,313,506000,,None,10020/11176,256,10nov2001 00:00:00,9200,2006-03-27,,,200016362,2000-03-23,,,,PEND,FULL-COLOR LIGHT EMITTING DEVICE,0,0
PCT/US99/21032,1999-09-14,?,PCT,AHMAD,NASSER,,93101,1772,428,040100,,None,6551-1170-22,256,10nov2001 00:00:00,9200,2006-03-27,,,200015426,2000-03-23,,,,PEND,ADHESIVE LABELS WITH A GRID PATTERN,0,0
PCT/US99/21033,1999-09-15,?,PCT,MCFADDEN,SUSAN,IRIS,92858,2658,704,233000,,None,SOL-135 PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200017859,2000-03-30,,,,PEND,NOISE SUPPRESSION FOR LOW BITRARE SPEECH CODER,0,0
PCT/US99/21034,1999-09-15,?,PCT,KWON,JOHN,,92276,3754,123,480000,,None,H-202023,256,10nov2001 00:00:00,9200,2006-03-27,,,200019076,2000-04-06,,,,PEND,TRANSIENT FUEL COMPENSATION,0,0
PCT/US99/21035,1999-09-15,?,PCT,COMPTON,ERIC,B,66090,3726,029,505000,,None,65159-002,256,10nov2001 00:00:00,9200,2006-03-27,,,200015368,2000-03-23,,,,PEND,METHOD FOR MANUFACTURING A ONE-PIECE TORSIONAL VIBRATION DAMPER RETAINER PLATE,0,0
PCT/US99/21036,1999-09-15,?,PCT,MARC,MCDIEUNEL,,73776,3661,700,284000,,None,A700/656,256,10nov2001 00:00:00,9200,2006-03-27,,,200015987,2000-03-23,,,,PEND,IRRIGATION SYSTEM HAVING SENSOR ARRAYS FOR FIELD MAPPING,0,0
PCT/US99/21037,1999-09-15,?,PCT,CHOI,FRANK,I,93331,1616,424,084000,,None,A700/670,256,10nov2001 00:00:00,9200,2006-03-27,,,200016616,2000-03-30,,,,PEND,CHEMICAL ATTRACTANTS FOR MOTHS,0,0
PCT/US99/21038,1999-09-15,?,PCT,BERMAN,ALYSIA,,63199,1619,424,070100,,None,A700/650,256,10nov2001 00:00:00,9200,2006-03-27,,,200018363,2000-04-06,,,,PEND,IMPROVED SHAMPOOS AND CONDITIONERS CONTAINING ESTOLIDES,0,0
PCT/US99/21039,1999-09-15,?,PCT,DEL SOLE,JOSEPH,S,67259,1722,425,012000,,None,AGS-51,256,10nov2001 00:00:00,9200,2006-03-27,,,200015419,2000-03-23,,,,PEND,FIXTURE FOR WINDOW REPAIR,0,0
PCT/US99/21040,1999-09-15,?,PCT,None,None,None,,5332,000,000000,,None,27943.279WO,218,01oct1999 19:46:52,9200,2006-03-27,,,200018159,2000-03-30,,,,PEND,UNIVERSAL SERIAL BUS TELEPHONY INTERFACE,0,0
PCT/US99/21041,1999-09-14,?,PCT,TREAT,WILLIAM,M,61807,2183,712,001000,,None,SONY-65WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200025250,2000-05-04,,,,PEND,DISTRIBUTED EXTENSIBLE PROCESSING ARCHITECTURE FOR DIGITAL SIGNAL PROCESSING APPLICATIONS,0,0
PCT/US99/21042,1999-09-14,?,PCT,None,None,None,,5332,000,000000,,None,SNX-011PCT,218,08oct1999 19:46:38,9200,2006-03-27,,,200016589,2000-03-23,,,,PEND,TWO LINE VARIABLE WORD LENGTH SERIAL INTERFACE,0,0
PCT/US99/21043,1999-09-14,?,PCT,LEWIS,KIM,M,96191,3761,602,016000,,None,NONE,256,10nov2001 00:00:00,9200,2006-03-27,,,200015161,2000-03-23,,,,PEND,JOINT WITH RADIAL HYDRAULIC FORCE TRANSFER,0,0
PCT/US99/21045,1999-09-14,?,PCT,WALKER,MISTY,F,86869,5332,000,000000,,None,TH1328 PCT,218,09nov1999 19:46:17,9200,2006-03-27,,,200016172,2000-03-23,,,,PEND,CLOSED-LOOP IDENTIFICATION OF AN UNMEASURED DISTURBANCE MODEL FOR CONTROL PERFORMANCE,0,0
PCT/US99/21046,1999-09-15,?,PCT,GECKIL,MEHMET,B,62336,2152,709,200000,,None,53525.000204,275,09aug2002 00:00:00,9200,2006-03-27,,,200016208,2000-03-23,,,,PEND,SYSTEM AND METHOD FOR INFORMATION AND APPLICATION DISTRIBUTION,0,0
PCT/US99/21047,1999-09-15,?,PCT,PAK,YONG,D,68691,1652,435,213000,,None,040902/0171,275,29dec2001 00:00:00,9200,2006-03-27,,,200017332,2000-03-30,,,,PEND,PRODUCTION OF SOLUBLE RECOMBINANT TRYPSINOGEN ANALOGS,0,0
PCT/US99/21048,1999-09-15,?,PCT,JIANG,DONG,,71259,1646,435,069100,,None,PF398P1PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200015759,2000-03-23,,,,PEND,INTERLEUKIN-17 RECEPTOR-LIKE PROTEIN,0,0
PCT/US99/21049,1999-09-14,?,PCT,EVANISKO,GEORGE,ROBERT,94016,3762,607,040000,,None,M41.PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200015293,2000-03-23,,,,PEND,COMBINED STIMULATION OF VENTRAL AND SACRAL ROOTS FOR THE CONTROL OF BLADDER FUNCTION,0,0
PCT/US99/21050,1999-09-14,?,PCT,WALKER,MISTY,F,86869,5332,000,000000,,None,7270/JB,218,10nov1999 19:45:29,9200,2006-03-27,,,200016733,2000-03-30,,,,PEND,PERSONAL CARE COMPOSITIONS CONTAINING ACTIVE PROTEINS TETHERED TO A WATER INSOLUBLE,0,0
PCT/US99/21051,1999-09-14,?,PCT,POTHIER,DENISE,M,68356,3764,601,134000,,None,17622-1-3PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200015172,2000-03-23,,,,PEND,MULTIPLE SLEEVE METHOD AND APPARATUS FOR TREATING EDEMA AND OTHER SWELLING DISORDERS,0,0
PCT/US99/21052,1999-09-13,?,PCT,None,None,None,,5332,000,000000,,None,RYA-116/CON,218,08oct1999 19:45:12,9200,2006-03-27,,,200015103,2000-03-23,,,,PEND,MULTIPLE PATIENT MONITORING SYSTEM FOR PROACTIVE HEALTH,0,0
PCT/US99/21053,1999-09-09,?,PCT,HUFF,SHEELA,JITENDRA,64169,1642,435,006000,,None,FP-LJ 3646,256,10nov2001 00:00:00,9200,2006-03-27,,,200014106,2000-03-16,,,,PEND,NOVEL BAG PROTEINS AND NUCLEIC ACID MOLECULES ENCODING THEM,0,0
PCT/US99/21054,1999-09-14,?,PCT,None,None,None,,5332,000,000000,,None,17263PCTAMO,218,08oct1999 19:44:57,9200,2006-03-27,,,200018340,2000-04-06,,,,PEND,WOUND SHAPER SLEEVE,0,0
PCT/US99/21055,1999-09-14,?,PCT,HENLEY III,RAYMOND,J,98205,1614,514,002000,,None,X-12473,256,10nov2001 00:00:00,9200,2006-03-27,,,200015224,2000-03-23,,,,PEND,PROTEIN FORMULATIONS,0,0
PCT/US99/21056,1999-09-14,?,PCT,BROWN,RUEBEN,M,69365,2623,725,001000,,None,MILIN-007PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200016552,2000-03-23,,,,PEND,AUDIENCE MONITORING AND REPORTING SYSTEM,0,0
PCT/US99/21057,1999-09-14,?,PCT,WALCZAK,DAVID,J,90533,3754,004,325000,,None,5771-PCA,256,10nov2001 00:00:00,9200,2006-03-27,,,200015914,2000-03-23,,,,PEND,DUAL-FLUSH VALVE,0,0
PCT/US99/21058,1999-09-14,?,PCT,HACKLEY JR,PERRY,H,95888,5332,000,000000,,None,22188/05860,218,04oct1999 19:44:19,9200,2006-03-27,,,200015377,2000-03-23,,,,PEND,TUBE CLAMPING ASSEMBLY,0,0
PCT/US99/21059,1999-09-14,?,PCT,None,None,None,,5332,000,000000,,None,BROWA.008VPC,218,18oct1999 19:44:14,9200,2006-03-27,,,200015977,2000-03-23,,,,PEND,DUAL DRIVE CONTINUOUSLY VARIABLE TRANSMISSION,0,0
PCT/US99/21060,1999-09-13,?,PCT,None,None,None,,5332,000,000000,,None,CH2679,218,04oct1999 19:44:08,9200,2006-03-27,,,200119730,2001-03-22,,,,PEND,IMPROVED CONTINUOUS PROCESS FOR PREPARING MICROGELS,0,0
PCT/US99/21061,1999-09-14,?,PCT,WALTON,GEORGE,L,65796,3753,137,436000,,None,P-5818-FM,256,10nov2001 00:00:00,9200,2006-03-27,,,200015991,2000-03-23,,,,PEND,TOILET FILL VALVE WITH IMPROVED NOISE ABATEMENT,0,0
PCT/US99/21062,1999-09-14,?,PCT,None,None,None,,5332,000,000000,,None,7271/JB,218,04oct1999 19:43:52,9200,2006-03-27,,,200016740,2000-03-30,,,,PEND,PERSONAL CARE COMPOSITIONS CONTAINING SUBTILISIN ENZYMES BOUND TO WATER INSOLUBLE SUBSTRATES,0,0
PCT/US99/21063,1999-09-13,?,PCT,None,None,None,,5332,000,000000,,None,ESS03 00085,218,27sep1999 19:43:47,9200,2006-03-27,,,200015414,2000-03-23,,,,PEND,METHOD FOR FABRICATING COMPOSITE PRESSURE VESSELS AND PRODUCTS FABRICATED BY THE METHOD,0,0
PCT/US99/21064,1999-09-13,?,PCT,None,None,None,,5332,000,000000,,None,ESS03 00089,218,06oct1999 19:43:41,50C0,2001-06-11,,,200015415,2000-03-23,,,,PEND,METHOD FOR FABRICATING COMPOSITE PRESSURE VESSELS AND PRODUCTS FABRICATED BY THE METHOD,0,0
PCT/US99/21065,1999-09-13,?,PCT,BERRY,RENEE,R,99652,2818,438,592000,,None,3521.68PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200017914,2000-03-30,,,,PEND,METHOD FOR FORMING SILICIDE REGIONS ON AN INTEGRATED DEVICE,0,0
PCT/US99/21066,1999-09-13,?,PCT,BRODA,SAMUEL,S,67321,2123,703,002000,,None,42390.P5983,256,10nov2001 00:00:00,9200,2006-03-27,,,200017751,2000-03-30,,,,PEND,METHOD FOR COMBINING THE COMPUTER MODELS OF TWO SURFACES IN 3-D SPACE,0,0
PCT/US99/21067,1999-09-13,?,PCT,BRINICH,STEPHEN,M,61168,2676,382,263000,,None,3767.1PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200016249,2000-03-23,,,,PEND,METHOD OF DIGITAL IMAGE ENHANCEMENT AND SHARPENING,0,0
PCT/US99/21068,1999-09-13,?,PCT,None,None,None,,5333,000,000000,,None,BHR-152661,218,08oct1999 19:43:05,50C0,2001-06-11,,,200015716,2000-03-23,,,,PEND,HIGH IMPACT POLYESTER BLENDS,0,0
PCT/US99/21069,1999-09-13,?,PCT,JORDAN,KIMBERLY,R,70216,1617,514,002000,,None,LA24B,256,10nov2001 00:00:00,9200,2006-03-27,,,200015230,2000-03-23,,,,PEND,METHOD FOR TREATING ATHEROSCLEROSIS EMPLOYING AN AP2 INHIBITOR AND COMBINATION,0,0
PCT/US99/21070,1999-09-13,?,PCT,SEAMAN,D MARGARET,M,84317,1625,546,112000,,None,HA722,256,10nov2001 00:00:00,9200,2006-03-27,,,200015222,2000-03-23,,,,PEND,FUSED PYRIDINE INHIBITORS OF CGMP PHOSPHODIESTERASE,0,0
PCT/US99/21071,1999-09-13,?,PCT,None,None,None,,5333,000,000000,,None,DC4674PCT,218,29sep1999 19:42:36,50C0,2001-06-11,,,200119914,2001-03-22,,,,PEND,THERMOPLASTIC SILICONE ELASTOMERS BASED ON FLUOROCARBON RESIN,0,0
PCT/US99/21072,1999-09-13,?,PCT,None,None,None,,5333,000,000000,,None,BHR-162282,218,01oct1999 19:42:32,9200,2006-03-27,,,200018376,2000-04-06,,,,PEND,AQUEOUS ENTERIC COATING COMPOSITION AND LOW GASTRIC PERMEABILITY ENTERIC COATING,0,0
PCT/US99/21073,1999-09-13,?,PCT,TRAN,KHANH,C,64213,2631,375,200000,,None,080398.P151,566,16dec1999 00:00:00,9200,2006-03-27,,,200120799,2001-03-22,,,,PEND,METHOD AND APPARATUS FOR DECODING TRELLIS CODED DIRECT SEQUENCE SPREAD SPECTRUM COMMUNICATION,0,0
PCT/US99/21074,1999-09-13,?,PCT,MCDOWELL,SUZANNE,E,99003,1791,264,223000,,None,1999-0291.WP,566,09dec1999 00:00:00,9200,2006-03-27,,,200015156,2000-03-23,,,,PEND,PROSTHESIS COVERING APPARATUS,0,0
PCT/US99/21075,1999-09-13,?,PCT,HYUN,SOON,D,70897,2616,370,216000,,None,12996Z,256,10nov2001 00:00:00,9200,2006-03-27,,,200016510,2000-03-23,,,,PEND,SIGNAL CONVERSION FOR FAULT ISOLATION,0,0
PCT/US99/21076,1999-09-13,?,PCT,GREEN,BRIAN,,83693,3611,027,019000,,None,89653.001.07,275,02apr2003 00:00:00,9200,2003-03-10,,,200023028,2000-04-27,,,,PEND,DECORATIVE CASKET COVER SYSTEM,0,0
PCT/US99/21077,1999-09-13,?,PCT,LAZAR WESLEY,ELIANE,M,95873,1646,536,023500,,None,19049-2PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200015774,2000-03-23,,,,PEND,USEFUL PROPERTIES OF A BEE VENOM PROTEIN AND GENE ENCODING SAME,0,0
PCT/US99/21078,1999-09-13,?,PCT,None,None,None,,5333,000,000000,,None,17695-PC,218,01oct1999 19:41:35,9200,2006-03-27,,,200015673,2000-03-23,,,,PEND,OFF-LINE PREACTIVATED CATALYSTS AND PREPOLYMERIZED CATALYSTS,0,0
PCT/US99/21079,1999-09-13,?,PCT,ZITOMER,STEPHANIE,W,93917,1655,514,100000,,None,NEX22CIP2/PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200017398,2000-03-30,,,,PEND,PARALLEL SELEX,0,0
PCT/US99/21080,1999-09-13,?,PCT,None,None,None,,5330,000,000000,,None,51410-P010WO,218,04oct1999 19:41:19,9200,2006-03-27,,,200022800,2000-04-20,,,,PEND,SYSTEM AND METHOD FOR CONTROLLING PERSONAL TELEPHONE NUMBER DIALING LISTS AND DIALING,0,0
PCT/US99/21081,1999-09-14,?,PCT,PARK,HANKYEL,,91027,1648,424,208100,,None,6923-092-228,275,10jul2002 00:00:00,9200,2006-03-27,,,200015853,2000-03-23,,,,PEND,RECOMBINANT NEWCASTLE DISEASE VIRUS RNA EXPRESSION SYSTEMS AND VACCINES,0,0
PCT/US99/21082,1999-09-14,?,PCT,DAVIS,ROBERT,B,63176,1722,425,116000,,None,174-610-228,256,10nov2001 00:00:00,9200,2006-03-27,,,200015309,2000-03-23,,,,PEND,METHOD AND APPARATUS FOR INJECTION MOLDING GOLF BALLS,0,0
PCT/US99/21084,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,DNI-040PC,218,01oct1999 19:40:46,9200,2006-03-27,,,200018413,2000-04-06,,,,PEND,TRANSPLANTATION OF NEURAL CELLS FOR THE TREATMENT OF CHRONIC PAIN OR SPASTICITY,0,0
PCT/US99/21085,1999-09-15,?,PCT,MORRIS,LESLEY,D,91772,3752,239,166000,,None,6154.02 DNF,256,10nov2001 00:00:00,9200,2006-03-27,,,200015348,2000-03-23,,,,PEND,BOOM SPRAYER AND METHOD OF SPRAYING,0,0
PCT/US99/21086,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,41PR07546,218,04oct1999 19:40:29,9200,2006-03-27,,,200016457,2000-03-23,,,,PEND,MAN-MACHINE INTERFACE FOR A VIRTUAL LOCKOUT/TAGOUT PANEL DISPLAY,0,0
PCT/US99/21087,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,YU125,218,04oct1999 19:40:26,9200,2006-03-27,,,200015849,2000-03-23,,,,PEND,ARTIFICIAL LONG TERMINAL REPEAT VECTORS,0,0
PCT/US99/21088,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,WJB-09169841,218,30sep1999 19:40:22,9200,2006-03-27,,,200022358,2000-04-20,,,,PEND,LIQUID CHILLER WITH ENHANCED MOTOR COOLING AND LUBRICATION,0,0
PCT/US99/21089,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,6107/002F,218,26oct1999 19:40:17,9200,2006-03-27,,,200017731,2000-03-30,,,,PEND,VOLATILE KEY APPARATUS FOR SAFEGUARDING CONFIDENTIAL DATA STORED IN A COMPUTER SYSTEM,0,0
PCT/US99/21090,1999-09-15,?,PCT,None,None,None,,5333,000,000000,,None,P1618P1,218,30sep1999 19:40:12,9200,2017-03-08,,,200015796,2000-03-23,,,,PEND,SECRETED AND TRANSMEMBRANE POLYPEPTIDES AND NUCLEIC ACIDS ENCODING THE SAME,0,0
PCT/US99/21092,1999-09-14,?,PCT,JOHANNSEN,DIANA,B,94579,1655,435,006000,,None,PU3562WO,256,11nov2001 00:00:00,9200,2006-03-27,,,200015833,2000-03-23,,,,PEND,MULTIPLEX SEQUENCING METHOD,0,0
PCT/US99/21093,1999-09-13,?,PCT,MCKIERNAN,THOMAS,E,94959,2734,375,200000,,None,080398.P140,566,10feb2000 00:00:00,9200,2006-03-27,,,200120834,2001-03-22,,,,PEND,METHOD AND APPARATUS FOR ENCODING OF TRELLIS CODED DIRECT SEQUENCE SPREAD SPECTRUM COMMUNICATION,0,0
PCT/US99/21094,1999-09-14,?,PCT,None,None,None,,5333,000,000000,,None,355002002441,218,04oct1999 19:39:52,9200,2006-03-27,,,200015104,2000-03-23,,,,PEND,REMEDIATION OF DEPRESSION THROUGH COMPUTER- IMPLEMENTED INTERACTIVE BEHAVIORAL TRAINING,0,0
PCT/US99/21095,1999-09-14,?,PCT,REDDING,DAVID,A,76224,1744,435,005000,,None,NAVI004/01WO,566,15dec1999 00:00:00,9200,2006-03-27,,,200015762,2000-03-23,,,,PEND,PACKING DEVICE FOR TRANSPORTING CONFLUENT CELL MONOLAYERS,0,0
PCT/US99/21096,1999-09-14,?,PCT,None,None,None,,5333,000,000000,,None,27951.229WO(,218,07oct1999 19:39:40,9200,2006-03-27,,,200016574,2000-03-23,,,,PEND,INTELLIGENT ROAMING MOBILE STATION FOR EMULATING A PRE-INTELLIGENT ROAMING MOBILE STATION,0,0
PCT/US99/21097,1999-09-14,?,PCT,None,None,None,,5333,000,000000,,None,UPT-001PC,218,06oct1999 19:39:34,9200,2006-03-27,,,200015264,2000-03-23,,,,PEND,IN SITU INJECTION OF ANTIGEN-PRESENTING CELLS WITH GENETICALLY ENHANCED CYTOKINE EXPRESSION,0,0
PCT/US99/21098,1999-09-14,?,PCT,TSANG FOSTER,SUSY,N,74052,1745,429,223000,,None,OBC-88,256,10nov2001 00:00:00,9200,2006-03-27,,,200016417,2000-03-23,,,,PEND,STRUCTRUALLY MODIFIED NICKEL HYDROXIDE MATERIAL AND METHOD FOR MAKING SAME,0,0
PCT/US99/21099,1999-09-14,?,PCT,None,None,None,,5333,000,000000,,None,VKH,218,04oct1999 19:39:19,9200,2006-03-27,,,200015051,2000-03-23,,,,PEND,"HYDROXYCITRIC ACID COMPOSITIONS, METHODS FOR PREPARING THEM AND THEIR USE IN PROMOTING WEIGHT",0,0
PCT/US99/21100,1999-09-14,?,PCT,PONOMARENKO,NICHOLAS,,61509,2834,290,001000,,None,GALIC-001PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200020756,2000-04-13,,,,PEND,ELECTRICAL ENERGY PRODUCING PLATFORM AND METHOD OF USE,0,0
